Geography,Geography Type,Geography Note,Year,Gender,Total Population,Population Aged 0 to 4,Population Aged 5 to 9,Population Aged 10 to 14,Population Aged 15 to 19,Population Aged 20 to 24,Population Aged 25 to 29,Population Aged 30 to 34,Population Aged 35 to 39,Population Aged 40 to 44,Population Aged 45 to 49,Population Aged 50 to 54,Population Aged 55 to 59,Population Aged 60 to 64,Population Aged 65 to 69,Population Aged 70 to 74,Population Aged 75 to 79,Population Aged 80+
"Cartwright, Municipality of",Community,,2010,Female,235,15,10,10,20,10,10,10,20,25,25,20,30,15,5,10,,10
"Cartwright, Municipality of",Community,,2010,Male,250,15,10,10,25,5,10,10,20,20,25,30,25,20,5,5,10,5
"Cartwright, Municipality of",Community,,2010,Total,490,30,25,20,40,10,15,25,40,40,50,50,50,35,15,15,15,15
"Cartwright, Municipality of",Community,,2011,Female,245,15,10,10,20,10,15,10,20,25,25,20,25,20,5,10,5,10
"Cartwright, Municipality of",Community,,2011,Male,270,15,10,15,20,5,10,10,20,25,30,35,25,20,15,5,10,5
"Cartwright, Municipality of",Community,,2011,Total,515,30,25,25,40,10,20,20,40,45,55,55,45,40,20,15,15,15
"Cartwright, Municipality of",Community,,2012,Female,250,20,10,15,15,10,15,10,20,20,25,25,20,20,10,10,,10
"Cartwright, Municipality of",Community,,2012,Male,270,15,20,15,20,5,10,10,10,25,20,30,30,25,15,5,10,10
"Cartwright, Municipality of",Community,,2012,Total,520,35,35,25,35,10,20,25,35,45,45,55,50,45,25,15,10,20
"Chance Cove, Municipality of",Community,,2010,Female,150,5,10,5,5,5,,5,10,15,10,15,15,20,10,15,5,5
"Chance Cove, Municipality of",Community,,2010,Male,140,,10,5,5,5,,5,10,10,15,10,15,10,15,10,5,5
"Chance Cove, Municipality of",Community,,2010,Total,290,5,15,10,10,10,5,5,15,25,20,30,30,35,30,20,10,10
"Chance Cove, Municipality of",Community,,2011,Female,145,,5,5,10,5,,5,5,15,10,15,15,15,15,15,5,5
"Chance Cove, Municipality of",Community,,2011,Male,140,,5,5,5,,5,,10,10,15,15,15,15,20,10,5,5
"Chance Cove, Municipality of",Community,,2011,Total,280,,10,10,15,5,5,5,10,20,20,35,30,35,40,20,10,10
"Chance Cove, Municipality of",Community,,2012,Female,135,5,,5,5,10,,5,5,15,10,15,20,15,15,10,5,5
"Chance Cove, Municipality of",Community,,2012,Male,150,,5,5,5,,5,5,5,10,10,20,15,15,20,10,5,5
"Chance Cove, Municipality of",Community,,2012,Total,280,5,5,15,10,10,5,5,5,20,20,35,35,30,35,20,10,10
"Change Islands, Municipality of",Community,,2010,Female,140,5,5,5,5,5,5,5,5,10,15,15,10,15,15,10,5,5
"Change Islands, Municipality of",Community,,2010,Male,135,5,5,,5,5,5,5,5,10,10,5,20,15,15,10,5,5
"Change Islands, Municipality of",Community,,2010,Total,280,10,10,15,15,10,10,15,15,20,20,20,35,30,30,15,5,10
"Change Islands, Municipality of",Community,,2011,Female,130,,5,10,5,5,5,5,5,5,15,10,15,15,10,10,5,5
"Change Islands, Municipality of",Community,,2011,Male,125,10,10,,5,5,5,5,5,10,10,5,20,15,10,10,5,5
"Change Islands, Municipality of",Community,,2011,Total,255,10,15,15,10,5,10,10,10,15,20,20,35,25,25,15,10,10
"Change Islands, Municipality of",Community,,2012,Female,130,,,5,5,5,5,5,5,5,15,15,10,15,15,5,5,5
"Change Islands, Municipality of",Community,,2012,Male,125,5,10,,5,5,5,5,5,10,10,10,15,15,15,10,5,5
"Change Islands, Municipality of",Community,,2012,Total,255,5,10,10,10,10,10,10,10,15,20,20,25,30,30,15,15,10
"Chapel Arm, Municipality of",Community,,2010,Female,240,15,10,10,25,5,10,10,10,20,20,30,20,15,15,10,10,15
"Chapel Arm, Municipality of",Community,,2010,Male,235,5,10,15,10,10,10,15,10,15,20,20,25,25,15,5,5,10
"Chapel Arm, Municipality of",Community,,2010,Total,475,20,20,20,30,15,15,25,20,35,40,45,40,45,35,15,10,30
"Chapel Arm, Municipality of",Community,,2011,Female,240,15,10,15,20,5,5,10,10,20,20,30,15,20,15,10,10,15
"Chapel Arm, Municipality of",Community,,2011,Male,235,5,10,10,10,10,10,15,5,15,20,20,25,30,15,10,5,10
"Chapel Arm, Municipality of",Community,,2011,Total,470,20,20,20,25,15,15,25,20,35,40,45,40,50,35,20,10,25
"Chapel Arm, Municipality of",Community,,2012,Female,235,15,10,15,10,5,5,15,10,15,20,25,20,20,20,10,15,15
"Chapel Arm, Municipality of",Community,,2012,Male,235,5,10,10,15,10,15,15,10,10,20,20,25,20,20,10,5,10
"Chapel Arm, Municipality of",Community,,2012,Total,465,20,20,20,25,15,15,25,25,25,40,40,45,45,40,20,15,25
"Colinet, Municipality of",Community,,2010,Female,65,5,5,,5,,,,5,5,5,10,10,5,5,,,
"Colinet, Municipality of",Community,,2010,Male,85,5,5,10,,,,,,5,5,,10,5,10,,5,
"Colinet, Municipality of",Community,,2010,Total,150,5,10,10,5,5,,5,10,10,10,10,20,20,20,5,5,
"Colinet, Municipality of",Community,,2011,Female,70,,5,,,,5,,5,5,5,10,10,5,5,,,
"Colinet, Municipality of",Community,,2011,Male,80,5,,10,,,,,,,5,,5,5,10,,,
"Colinet, Municipality of",Community,,2011,Total,150,,5,10,5,5,,5,5,10,10,15,20,20,20,5,5,
"Colinet, Municipality of",Community,,2012,Female,65,,5,5,,,5,,5,5,5,5,10,10,5,5,,
"Colinet, Municipality of",Community,,2012,Male,80,,5,5,5,5,,,,5,5,,5,10,10,5,5,5
"Colinet, Municipality of",Community,,2012,Total,145,,5,10,5,5,5,5,5,10,10,10,15,20,20,10,5,5
"Colliers, Municipality of",Community,,2010,Female,330,5,20,10,20,25,15,20,15,20,30,30,35,25,25,10,10,10
"Colliers, Municipality of",Community,,2010,Male,320,10,15,15,20,20,15,15,15,25,25,30,45,25,20,10,5,10
"Colliers, Municipality of",Community,,2010,Total,645,20,30,25,35,40,30,35,30,40,55,65,80,50,45,20,15,20
"Colliers, Municipality of",Community,,2011,Female,330,5,25,10,20,20,10,20,15,20,35,30,35,25,25,10,10,10
"Colliers, Municipality of",Community,,2011,Male,325,10,10,20,20,15,15,15,15,20,30,30,40,35,20,15,5,10
"Colliers, Municipality of",Community,,2011,Total,650,15,30,30,35,35,30,30,30,40,65,65,75,65,45,25,15,20
"Colliers, Municipality of",Community,,2012,Female,320,5,25,10,15,15,10,15,15,20,25,35,30,35,20,10,10,10
"Colliers, Municipality of",Community,,2012,Male,325,10,10,20,15,10,15,15,20,25,25,30,35,35,25,10,5,10
"Colliers, Municipality of",Community,,2012,Total,640,20,35,30,25,25,30,30,35,45,55,65,65,70,45,25,15,20
"Comfort Cove-Newstead, Municipality of",Community,,2010,Female,215,5,10,15,15,10,10,5,15,10,20,30,15,20,15,10,5,5
"Comfort Cove-Newstead, Municipality of",Community,,2010,Male,240,5,10,10,15,15,10,5,15,20,25,20,20,20,20,10,10,10
"Comfort Cove-Newstead, Municipality of",Community,,2010,Total,455,10,20,25,35,15,20,5,30,35,45,50,35,45,35,20,15,15
"Comfort Cove-Newstead, Municipality of",Community,,2011,Female,215,,10,15,10,15,10,5,10,10,20,25,15,25,15,10,5,5
"Comfort Cove-Newstead, Municipality of",Community,,2011,Male,235,10,5,15,15,15,5,5,10,20,20,25,20,20,25,10,5,10
"Comfort Cove-Newstead, Municipality of",Community,,2011,Total,450,15,15,30,30,20,15,10,25,35,40,50,35,45,35,25,15,20
"Comfort Cove-Newstead, Municipality of",Community,,2012,Female,205,5,5,15,5,15,10,5,10,10,20,20,20,25,15,10,10,
